Municipios;Sexo;Periodo;Total
29002 Alcaucín;Hombres;2007;1.157
29002 Alcaucín;Hombres;2006;1.061
29002 Alcaucín;Hombres;2005;984
29002 Alcaucín;Hombres;2004;837
29002 Alcaucín;Hombres;2003;810
29002 Alcaucín;Hombres;2002;787
29002 Alcaucín;Hombres;2001;769
29002 Alcaucín;Hombres;2000;758
29002 Alcaucín;Hombres;1999;751
29002 Alcaucín;Hombres;1998;763
29002 Alcaucín;Hombres;1997;""
29002 Alcaucín;Hombres;1996;760
29002 Alcaucín;Mujeres;2022;1.218
29002 Alcaucín;Mujeres;2021;1.156
29002 Alcaucín;Mujeres;2020;1.107
29002 Alcaucín;Mujeres;2019;1.090
29002 Alcaucín;Mujeres;2018;1.091
29002 Alcaucín;Mujeres;2017;1.094
29002 Alcaucín;Mujeres;2016;1.106
29002 Alcaucín;Mujeres;2015;1.182
29002 Alcaucín;Mujeres;2014;1.214
29002 Alcaucín;Mujeres;2013;1.394
29002 Alcaucín;Mujeres;2012;1.399
29002 Alcaucín;Mujeres;2011;1.365
29002 Alcaucín;Mujeres;2010;1.324
29002 Alcaucín;Mujeres;2009;1.271
29002 Alcaucín;Mujeres;2008;1.230
29002 Alcaucín;Mujeres;2007;1.129
29002 Alcaucín;Mujeres;2006;1.025
29002 Alcaucín;Mujeres;2005;933
29002 Alcaucín;Mujeres;2004;814
29002 Alcaucín;Mujeres;2003;789
29002 Alcaucín;Mujeres;2002;770
29002 Alcaucín;Mujeres;2001;765
29002 Alcaucín;Mujeres;2000;753
29002 Alcaucín;Mujeres;1999;748
29002 Alcaucín;Mujeres;1998;746
29002 Alcaucín;Mujeres;1997;""
29002 Alcaucín;Mujeres;1996;724
29003 Alfarnate;Total;2022;1.039
29003 Alfarnate;Total;2021;1.057
29003 Alfarnate;Total;2020;1.065
29003 Alfarnate;Total;2019;1.069
29003 Alfarnate;Total;2018;1.105
29003 Alfarnate;Total;2017;1.113
29003 Alfarnate;Total;2016;1.135
29003 Alfarnate;Total;2015;1.159
29003 Alfarnate;Total;2014;1.198
29003 Alfarnate;Total;2013;1.240
29003 Alfarnate;Total;2012;1.300
29003 Alfarnate;Total;2011;1.323
29003 Alfarnate;Total;2010;1.338
29003 Alfarnate;Total;2009;1.348
29003 Alfarnate;Total;2008;1.362
29003 Alfarnate;Total;2007;1.365
29003 Alfarnate;Total;2006;1.386
29003 Alfarnate;Total;2005;1.398
29003 Alfarnate;Total;2004;1.413
29003 Alfarnate;Total;2003;1.401
29003 Alfarnate;Total;2002;1.430
29003 Alfarnate;Total;2001;1.429
29003 Alfarnate;Total;2000;1.443
29003 Alfarnate;Total;1999;1.431
29003 Alfarnate;Total;1998;1.451
29003 Alfarnate;Total;1997;""
29003 Alfarnate;Total;1996;1.447
29003 Alfarnate;Hombres;2022;534
29003 Alfarnate;Hombres;2021;541
29003 Alfarnate;Hombres;2020;545
29003 Alfarnate;Hombres;2019;546
29003 Alfarnate;Hombres;2018;575
29003 Alfarnate;Hombres;2017;573
29003 Alfarnate;Hombres;2016;584
29003 Alfarnate;Hombres;2015;590
29003 Alfarnate;Hombres;2014;607
29003 Alfarnate;Hombres;2013;633
29003 Alfarnate;Hombres;2012;664
29003 Alfarnate;Hombres;2011;683
29003 Alfarnate;Hombres;2010;691
29003 Alfarnate;Hombres;2009;698
29003 Alfarnate;Hombres;2008;702
29003 Alfarnate;Hombres;2007;704
29003 Alfarnate;Hombres;2006;714
